"iata","name","city","country","country_code","lat","lon","timezone"
"AAA","Anaa Airport","Anaa","PF","PF","-17.3526","-145.509995","Pacific/Tahiti"
"AAB","Arrabury Airport","Tanbar","AU","AU","-26.69639","141.048718","UTC"
"AAC","El Arish International Airport","El Arish","EG","EG","31.055324","33.827964","Africa/Cairo"
"AAD","Adado Airport","Adado","SO","SO","6.095802","46.6375","UTC"
"AAE","Annaba Rabah Bitat Airport","Annaba","DZ","DZ","36.826781","7.81334","Africa/Algiers"
"AAF","Apalachicola Regional Airport","Apalachicola","US","US","29.727501","-85.027496","America/New_York"
"AAH","Aachen-Merzbrück Airport","Aachen","DE","DE","50.823055","6.186389","Europe/Berlin"
"AAI","Arraias Airport","Arraias","BR","BR","-13.025154","-46.884107","UTC"
"AAJ","Cayana Airstrip","Awaradam","SR","SR","3.898681","-55.577907","UTC"
"AAK","Aranuka Airport","Buariki","KI","KI","0.185278","173.636993","\N"
"AAL","Aalborg Airport","Aalborg","DK","DK","57.094763","9.84993","Europe/Copenhagen"
"AAM","Malamala Airport","Malamala","ZA","ZA","-24.816866","31.544085","Africa/Johannesburg"
"AAN","Al Ain International Airport","Al Ain","AE","AE","24.2617","55.6092","Asia/Dubai"
"AAO","Anaco Airport","Anaco","VE","VE","9.430225","-64.470726","America/Caracas"
"AAP","Aji Pangeran Tumenggung Pranoto International Airport","Samarinda","ID","ID","-0.374478","117.250128","America/Chicago"
"AAQ","Anapa Vityazevo Airport","Krasnyi Kurgan","RU","RU","45.002102","37.347301","Europe/Moscow"
"AAR","Aarhus Airport","Aarhus","DK","DK","56.303331","10.618286","Europe/Copenhagen"
"AAS","Apalapsili Airport","Apalapsili","ID","ID","-3.882495","139.310932","UTC"
"AAT","Altay Xuedu Airport","Altay","CN","CN","47.749886","88.085808","Asia/Shanghai"
"AAU","Asau Airport","Asau","WS","WS","-13.505132","-172.627888","UTC"
"AAV","Allah Valley Airport","Surallah","PH","PH","6.367903","124.752431","\N"
"AAX","Romeu Zema Airport","Araxá","BR","BR","-19.5632","-46.9604","America/Sao_Paulo"
"AAY","Al Ghaydah International Airport","Al Ghaydah","YE","YE","16.193341","52.174186","Asia/Aden"
"AAZ","Quezaltenango Airport","Quezaltenango","GT","GT","14.8656","-91.501999","America/Guatemala"
"ABA","Abakan International Airport","Abakan","RU","RU","53.740002","91.385002","Asia/Krasnoyarsk"
"ABB","Asaba International Airport","Asaba","NG","NG","6.204167","6.665278","Africa/Lagos"
"ABC","Albacete Airport / Los Llanos Air Base","Albacete","ES","ES","38.948502","-1.86352","Europe/Madrid"
"ABD","Abadan Ayatollah Jami International Airport","Abadan","IR","IR","30.367887","48.230075","Asia/Tehran"
"ABE","Lehigh Valley International Airport","Allentown/Bethlehem","US","US","40.651773","-75.442797","America/New_York"
"ABF","Abaiang Airport","Abaiang","KI","KI","1.79861","173.041","Pacific/Tarawa"
"ABG","Abingdon Downs Airport","Abingdon Downs","AU","AU","-17.608814","143.183531","UTC"
"ABH","Alpha Airport","Alpha","AU","AU","-23.652849","146.582668","\N"
"ABI","Abilene Regional Airport","Abilene","US","US","32.4113006592","-99.68190002440001","America/Chicago"
"ABJ","Félix-Houphouët-Boigny International Airport","Abidjan","CI","CI","5.26139","-3.92629","Africa/Abidjan"
"ABK","Kebri Dahar Airport","Kebri Dahar","ET","ET","6.732577","44.241339","Africa/Addis_Ababa"
"ABL","Ambler Airport","Ambler","US","US","67.105529","-157.855339","America/Anchorage"
"ABM","Northern Peninsula Airport","Bamaga","AU","AU","-10.946194","142.455081","Australia/Brisbane"
"ABN","Albina Airport","Albina","SR","SR","5.51272","-54.050098","America/Paramaribo"
"ABO","Aboisso Airport","Aboisso","CI","CI","5.461944","-3.234722","UTC"
"ABP","Atkamba Airport","Atkamba Mission","PG","PG","-6.06462","141.095173","UTC"
"ABQ","Albuquerque International Sunport","Albuquerque","US","US","35.039976","-106.608925","America/Denver"
"ABR","Aberdeen Regional Airport","Aberdeen","US","US","45.449100494384766","-98.42179870605469","America/Chicago"
"ABS","Abu Simbel Airport","Abu Simbel","EG","EG","22.374402","31.609881","Africa/Cairo"
"ABT","King Saud Bin Abdulaziz (Al Baha) Airport","Al-Baha","SA","SA","20.298506","41.636153","Asia/Riyadh"
"ABU","AA Bere Tallo (Haliwen) Airport","Atambua","ID","ID","-9.074841","124.903285","UTC"
"ABV","Nnamdi Azikiwe International Airport","Abuja","NG","NG","9.00679","7.26317","Africa/Lagos"
"ABX","Albury Airport","East Albury","AU","AU","-36.066758","146.959148","Australia/Sydney"
"ABY","Southwest Georgia Regional Airport","Albany","US","US","31.532946","-84.196215","America/New_York"
"ABZ","Aberdeen International Airport","Aberdeen","GB","GB","57.2019","-2.19778","Europe/London"
"ACA","General Juan N. Álvarez International Airport","Acapulco","MX","MX","16.757126","-99.753113","America/Mexico_City"
"ACB","Antrim County Airport","Bellaire","US","US","44.988602","-85.198402","UTC"
"ACC","Kotoka International Airport","Accra","GH","GH","5.605189800262451","-0.16678600013256073","Africa/Accra"
"ACD","Alcides Fernández Airport","Acandí","CO","CO","8.497847","-77.274106","America/Bogota"
"ACE","César Manrique-Lanzarote Airport","San Bartolomé","ES","ES","28.945499","-13.6052","Atlantic/Canary"
"ACF","Aral Tarim Airport","Aral","CN","CN","40.434748","81.26206","Australia/Brisbane"
"ACH","Sankt Gallen Altenrhein Airport","St. Gallen","CH","CH","47.485001","9.56077","Europe/Zurich"
"ACI","Alderney Airport","Saint Anne","GG","GG","49.706104","-2.21472","Europe/Guernsey"
"ACJ","Anuradhapura Airport","Anuradhapura","LK","LK","8.301542","80.42848","Asia/Colombo"
"ACK","Nantucket Memorial Airport","Nantucket","US","US","41.25310135","-70.06020355","America/New_York"
"ACM","Arica Airport","Arica","CO","CO","-2.143713","-71.75935","UTC"
"ACN","Ciudad Acuña New International Airport","Ciudad Acuña","MX","MX","29.333662","-101.100555","America/Mexico_City"
"ACO","Cóbano Airport","Cóbano","CR","CR","9.693365","-85.091216","UTC"
"ACP","Sahand Airport","Maragheh","IR","IR","37.347999572753906","46.127899169921875","Asia/Tehran"
"ACR","Araracuara Airport","Araracuara","CO","CO","-0.600854","-72.398011","America/Bogota"
"ACS","Achinsk Airport","Achinsk","RU","RU","56.269185","90.57511","\N"
"ACT","Waco Regional Airport","Waco","US","US","31.611299514770508","-97.23049926757812","America/Chicago"
"ACU","Achutupu Airport","Mamitupu","PA","PA","9.188481","-77.994153","UTC"
"ACV","California Redwood Coast-Humboldt County Airport","Arcata/Eureka","US","US","40.978101","-124.109","America/Los_Angeles"
"ACX","Xingyi Wanfenglin Airport","Xingyi","CN","CN","25.083423","104.960804","Asia/Shanghai"
"ACY","Atlantic City International Airport","Atlantic City","US","US","39.456201","-74.577511","America/New_York"
"ACZ","Zabol Airport","Zabol","IR","IR","31.098301","61.5439","Asia/Tehran"
"ADA","Adana Şakirpaşa Airport","Seyhan","TR","TR","36.982201","35.280399","Europe/Istanbul"
"ADB","Adnan Menderes International Airport","Gaziemir","TR","TR","38.2924","27.157","Europe/Istanbul"
"ADC","Andakombe Airport","Andekombe","PG","PG","-7.13722222222","145.744722222","UTC"
"ADD","Addis Ababa Bole International Airport","Addis Ababa","ET","ET","8.97789","38.799301","Africa/Addis_Ababa"
"ADE","Aden International Airport","Aden","YE","YE","12.829564","45.029976","Asia/Aden"
"ADF","Adıyaman Airport","Adıyaman","TR","TR","37.7314","38.468899","Europe/Istanbul"
"ADG","Lenawee County Airport","Adrian","US","US","41.866205","-84.077983","UTC"
"ADH","Aldan Airport","Aldan","RU","RU","58.60279846191406","125.40899658203125","Asia/Yakutsk"
"ADI","Arandis Airport","Arandis","NA","NA","-22.461875","14.979322","\N"
"ADJ","Marka International (Amman Civil) Airport","Amman","JO","JO","31.9727","35.9916","Asia/Amman"
"ADK","Adak Airport","Adak","US","US","51.883564","-176.642783","America/Adak"
"ADL","Adelaide International Airport","Adelaide","AU","AU","-34.947512","138.533393","Australia/Adelaide"
"ADM","Ardmore Municipal Airport","Ardmore","US","US","34.30301","-97.0196342","America/Chicago"
"ADO","Andamooka Airport","Andamooka","AU","AU","-30.438299","137.136993","UTC"
"ADP","Ampara Airport","Ampara","LK","LK","7.336745","81.623869","Asia/Colombo"
"ADQ","Kodiak Airport","Kodiak","US","US","57.75","-152.4940033","America/Anchorage"
"ADR","Robert F Swinnie Airport","Andrews","US","US","33.4516983032","-79.5261993408","UTC"
"ADS","Addison Airport","Dallas","US","US","32.9686012268","-96.8364028931","America/Chicago"
"ADT","Ada Regional Airport","Ada","US","US","34.805214","-96.671988","America/Chicago"
"ADU","Ardabil Airport","Ardabil","IR","IR","38.3256988525","48.4244003296","Asia/Tehran"
"ADV","El Daein Airport","El Daein","SD","SD","11.4023","26.1186","UTC"
"ADW","Joint Base Andrews","Camp Springs","US","US","38.810799","-76.866997","America/New_York"
"ADX","Leuchars Station Airfield","Leuchars, Fife","GB","GB","56.37398","-2.868862","Europe/London"
"ADY","Alldays Airport","Alldays","ZA","ZA","-22.679001","29.0555","Africa/Johannesburg"
"ADZ","Gustavo Rojas Pinilla International Airport","San Andrés","CO","CO","12.5836","-81.7112","America/Bogota"
"AEA","Abemama Airport","Abemama","KI","KI","0.490759","173.830287","Pacific/Tarawa"
"AEB","Baise (Bose) Bama Airport","Baise (Tianyang)","CN","CN","23.7206","106.959999","Asia/Shanghai"
"AEE","Adareil Airport","Adar","SS","SS","10.053611","32.959444","UTC"
"AEG","Aek Godang Airport","Padang Sidempuan","ID","ID","1.4001","99.430496","Asia/Jakarta"
"AEH","Abeche Airport","Abeche","TD","TD","13.847","20.844299","Africa/Ndjamena"
"AEK","Aseki Airport","Aseki","PG","PG","-7.350805","146.193994","UTC"
"AEL","Albert Lea Municipal Airport","Albert Lea","US","US","43.68149948","-93.36720276","UTC"
"AEM","Amgu Airport","Amgu","RU","RU","45.84126","137.673568","UTC"
"AEO","Aioun el Atrouss Airport","Aioun El Atrouss","MR","MR","16.711299896240234","-9.637880325317383","Africa/Nouakchott"
"AEP","Aeroparque Jorge Newbery","Buenos Aires","AR","AR","-34.559419","-58.415536","America/Buenos_Aires"
"AEQ","Ar Horqin Airport","Chifeng","CN","CN","43.908407","120.15099","UTC"
"AER","Sochi International Airport","Sochi","RU","RU","43.449902","39.9566","Europe/Moscow"
"AES","Ålesund Airport","Ålesund","NO","NO","62.560443","6.110845","Europe/Oslo"
"AET","Allakaket Airport","Allakaket","US","US","66.551804","-152.621994","America/Anchorage"
"AEU","Abu Musa Island Airport","Abu Musa","IR","IR","25.8757","55.033001","Asia/Tehran"
"AEX","Alexandria International Airport","Alexandria","US","US","31.325828","-92.546702","America/Chicago"
"AEY","Akureyri International Airport","Akureyri","IS","IS","65.656573","-18.072018","Atlantic/Reykjavik"
"AFA","Suboficial Ay Santiago Germano Airport","San Rafael","AR","AR","-34.588299","-68.4039","America/Mendoza"
"AFD","Port Alfred Airport","Port Alfred","ZA","ZA","-33.555057","26.881656","UTC"
"AFF","USAF Academy Airfield","Colorado Springs","US","US","38.972497","-104.821125","UTC"
"AFI","Amalfi Airport","Amalfi","CO","CO","6.895033","-75.047334","UTC"
"AFK","Kondavattavana Tank Seaplane Base","Ampara","LK","LK","7.284","81.644","UTC"
"AFL","Piloto Osvaldo Marques Dias Airport","Alta Floresta","BR","BR","-9.866389","-56.106298","America/Campo_Grande"
"AFN","Jaffrey Airfield Silver Ranch Airport","Jaffrey","US","US","42.805099","-72.002998","UTC"
"AFO","Afton Municipal Airport","Afton","US","US","42.7112007141","-110.942001343","UTC"
"AFR","Afore Airstrip","Afore","PG","PG","-9.13867","148.390701","UTC"
"AFS","Sugraly Airport","Zarafshan","UZ","UZ","41.613899","64.2332","Asia/Samarkand"
"AFT","Afutara Aerodrome","Bila","SB","SB","-9.191389","160.948611","Pacific/Guadalcanal"
"AFW","Perot Field/Fort Worth Alliance Airport","Fort Worth","US","US","32.99044","-97.31947","America/Chicago"
"AFY","Afyon Air Base","Afyonkarahisar","TR","TR","38.726398","30.601101","Europe/Istanbul"
"AFZ","Sabzevar National Airport","Sabzevar","IR","IR","36.16809844970703","57.59519958496094","Asia/Tehran"
"AGA","Al Massira Airport","Agadir (Temsia)","MA","MA","30.322478","-9.412003","Africa/Casablanca"
"AGB","Augsburg Airport","Augsburg","DE","DE","48.425278","10.931667","Europe/Berlin"
"AGC","Allegheny County Airport","Pittsburgh","US","US","40.354401","-79.930199","America/New_York"
"AGD","Anggi Airport","Anggi-Papua Island","ID","ID","-1.3858","133.8737","UTC"
"AGE","Wangerooge Airport","Wangerooge","DE","DE","53.782544","7.919584","Europe/Berlin"
"AGF","Agen La Garenne airport","Agen","FR","FR","44.174171","0.59309","Europe/Paris"
"AGG","Angoram Airport","Angoram","PG","PG","-4.057077","144.073841","UTC"
"AGH","Ängelholm-Helsingborg Airport","Ängelholm","SE","SE","56.29610061645508","12.847100257873535","Europe/Stockholm"
"AGI","Wageningen Airstrip","Wageningen","SR","SR","5.841252","-56.673247","America/Paramaribo"
"AGJ","Aguni Airport","Aguni","JP","JP","26.592755","127.240335","Asia/Tokyo"
"AGK","Kagua Airport","Kagua","PG","PG","-6.396388888890001","143.853611111","UTC"
"AGL","Wanigela Airport","Wanigela","PG","PG","-9.3375","149.155556","UTC"
"AGM","Tasiilaq Heliport","Tasiilaq","GL","GL","65.612296","-37.618335","UTC"
"AGN","Angoon Seaplane Base","Angoon","US","US","57.497097","-134.56722","America/Anchorage"
"AGO","Magnolia Municipal Airport / Ralph C Weiser Field","Magnolia","US","US","33.228001","-93.217002","UTC"
"AGP","Málaga-Costa del Sol Airport","Málaga","ES","ES","36.6749","-4.49911","Europe/Madrid"
"AGR","Agra Airport / Agra Air Force Station","Agra","IN","IN","27.157975","77.961025","Asia/Calcutta"
"AGS","Augusta Regional At Bush Field","Augusta","US","US","33.3699","-81.9645","America/New_York"
"AGT","Guaraní International Airport","Ciudad del Este","PY","PY","-25.457186","-54.839544","America/Asuncion"
"AGU","Aguascalientes International Airport","Aguascalientes","MX","MX","21.699589","-102.318372","America/Mexico_City"
"AGV","Oswaldo Guevara Mujica Airport","Acarigua","VE","VE","9.553375","-69.237869","America/Caracas"
"AGW","Agnew Airport","Agnew","AU","AU","-12.1456","142.149369","UTC"
"AGX","Agatti Airport","Agatti","IN","IN","10.8237","72.176003","Asia/Calcutta"
"AGZ","Aggeneys Airport","Aggeneys","ZA","ZA","-29.281799","18.8139","Africa/Johannesburg"
"AHA","Maa Mahamaya Airport","Ambikapur","IN","IN","22.98753","83.19612","UTC"
"AHB","Abha International Airport","Abha","SA","SA","18.2404","42.656601","Asia/Riyadh"
"AHC","Amedee Army Air Field","Herlong","US","US","40.26620102","-120.1529999","UTC"
"AHD","Ardmore Downtown Executive Airport","Ardmore","US","US","34.1469993591","-97.1227035522","UTC"
"AHE","Ahe Airport","Ahe Atoll","PF","PF","-14.428099632263184","-146.2570037841797","Pacific/Tahiti"
"AHF","Arapahoe Municipal Airport","Arapahoe","US","US","40.341576","-99.907839","UTC"
"AHG","Agalega Island Airstrip","Vingt Cinq","MU","MU","-10.3731","56.609798","UTC"
"AHH","Amery Municipal Airport","Amery","US","US","45.2811012268","-92.37539672850001","UTC"
"AHI","Amahai Airport","Amahai","ID","ID","-3.347851","128.927093","UTC"
"AHJ","Hongyuan Airport","Ngawa (Hongyuan)","CN","CN","32.53154","102.35224","\N"
"AHL","Aishalton Airport","Aishalton","GY","GY","2.47403","-59.320786","UTC"
"AHM","Ashland Municipal Airport Sumner Parker Field","Ashland","US","US","42.190265","-122.660648","UTC"
"AHN","Athens Ben Epps Airport","Athens","US","US","33.948842","-83.325634","America/New_York"
"AHO","Alghero-Fertilia Airport","Alghero","IT","IT","40.632099","8.29077","Europe/Rome"
"AHS","Ahuas Airport","Ahuas","HN","HN","15.4722","-84.352203","America/Tegucigalpa"
"AHU","Cherif Al Idrissi Airport","Al Hoceima","MA","MA","35.177101","-3.83952","Africa/Casablanca"
"AHY","Ambatolhy Airport","Ambatolahy","MG","MG","-20.015833333299998","45.535","UTC"
"AHZ","L'Alpe d'Huez - Henri Giraud Altiport","Huez, Isère","FR","FR","45.087399","6.083604","UTC"
"AIA","Alliance Municipal Airport","Alliance","US","US","42.052543","-102.803965","America/Denver"
"AIC","Ailinglaplap Airok Airport","Bigatyelang Island","MH","MH","7.279422","168.8257","UTC"
"AID","Anderson Municipal Darlington Field","Anderson","US","US","40.10860061649999","-85.6129989624","\N"
"AIE","Aiome Airport","Aiome","PG","PG","-5.145699978","144.7307003","UTC"
"AIF","Marcelo Pires Halzhausen Airport","Assis","BR","BR","-22.638601","-50.455983","UTC"
"AIG","Yalinga Airport","Yalinga","CF","CF","6.519999980926514","23.260000228881836","UTC"
"AIH","Aiambak Airport","Aiambak","PG","PG","-7.342777777779999","141.2675","UTC"
"AII","Ali-Sabieh Airport","Ali-Sabieh","DJ","DJ","11.146889","42.72","UTC"
"AIK","Aiken Regional Airport","Aiken","US","US","33.649399","-81.684998","America/New_York"
"AIL","Ailigandí Airport","Isla Lorenzo Bello","PA","PA","9.2226","-78.0236","UTC"
"AIM","Ailuk Airport","Ailuk Island","MH","MH","10.2168","169.983002","UTC"
"AIN","Wainwright Airport","Wainwright","US","US","70.638","-159.994995","America/Anchorage"
"AIO","Atlantic Municipal Airport","Atlantic","US","US","41.40729904","-95.04689789","UTC"
"AIP","Adampur Airport","Adampur","IN","IN","31.4338","75.758797","\N"
"AIR","Aripuanã Airport","Aripuanã","BR","BR","-10.187375","-59.457469","\N"
"AIS","Arorae Island Airport","Arorae Island","KI","KI","-2.616233","176.802209","Pacific/Tarawa"
"AIT","Aitutaki Airport","Aitutaki","CK","CK","-18.8309","-159.764008","Pacific/Rarotonga"
"AIU","Enua Airport","Atiu Island","CK","CK","-19.96780014038086","-158.11900329589844","Pacific/Rarotonga"
"AIV","George Downer Airport","Aliceville","US","US","33.106499","-88.1978","UTC"
"AIW","Ai-Ais Airport","Ai-Ais","NA","NA","-27.995","17.5966","UTC"
"AIY","Araçuaí Airport","Araçuaí","BR","BR","-16.851571","-42.045633","UTC"
"AIZ","Lee C Fine Memorial Airport","Kaiser Lake Ozark","US","US","38.0960006714","-92.54949951170002","America/Chicago"
"AJA","Ajaccio Napoléon Bonaparte airport","Ajaccio","FR","FR","41.923599","8.80292","Europe/Paris"
"AJF","Al-Jawf International Airport","Al-Jawf","SA","SA","29.783301","40.100905","Asia/Riyadh"
"AJI","Ağrı Airport","Ağrı","TR","TR","39.655642","43.025742","Europe/Istanbul"
"AJJ","Akjoujt Airport","Akjoujt","MR","MR","19.727998","-14.377214","UTC"
"AJK","Arak Airport","Araak","IR","IR","34.1381","49.847301","Asia/Tehran"
"AJL","Lengpui Airport","Aizawl (Lengpui)","IN","IN","23.840599","92.619698","Asia/Calcutta"
"AJN","Ouani Airport","Ouani","KM","KM","-12.131047","44.430044","Indian/Comoro"
"AJR","Arvidsjaur Airport","Arvidsjaur","SE","SE","65.59030151367188","19.28190040588379","Europe/Stockholm"
"AJS","Punta Abreojos Airport","Mulegé","MX","MX","26.7272","-113.558998","UTC"
"AJU","Aracaju - Santa Maria Airport","Aracaju","BR","BR","-10.98394","-37.072873","America/Fortaleza"
"AJY","Mano Dayak International Airport","Agadez","NE","NE","16.966","8.00011","Africa/Niamey"
"AKA","Ankang Fuqiang Airport","Ankang (Hanbin)","CN","CN","32.75696","108.87338","Asia/Shanghai"
"AKB","Atka Airport","Atka","US","US","52.220299","-174.205994","America/Adak"
"AKC","Akron Fulton International Airport","Akron","US","US","41.037355","-81.46784","America/New_York"
"AKD","Akola Airport","Akola","IN","IN","20.698931","77.056883","Asia/Calcutta"
"AKE","Akieni Airport","Akieni","GA","GA","-1.13967001438","13.9035997391","UTC"
"AKF","Kufra Airport","Kufra","LY","LY","24.178699493408203","23.31399917602539","Africa/Tripoli"
"AKG","Anguganak Airport","Anguganak","PG","PG","-3.560504","142.217307","UTC"
"AKH","Prince Sultan Air Base","Al Kharj","SA","SA","24.0627","47.580502","Asia/Riyadh"
"AKI","Akiak Airport","Akiak","US","US","60.902646","-161.23106","America/Anchorage"
"AKJ","Asahikawa Airport","Higashikagura","JP","JP","43.670799","142.447006","Asia/Tokyo"
"AKK","Akhiok Airport","Akhiok","US","US","56.938702","-154.182999","America/Anchorage"
"AKL","Auckland International Airport","Auckland","NZ","NZ","-37.01199","174.786331","Pacific/Auckland"
"AKM","Zakuoma Airport","ZaKouma","TD","TD","10.8902777778","19.8172222222","UTC"
"AKN","King Salmon Airport","King Salmon","US","US","58.677845","-156.651965","America/Anchorage"
"AKO","Colorado Plains Regional Airport","Akron","US","US","40.1755981445","-103.222000122","America/Denver"
"AKP","Anaktuvuk Pass Airport","Anaktuvuk Pass","US","US","68.133598","-151.742996","America/Anchorage"
"AKQ","Astra Ksetra Airport","Menggala","ID","ID","-4.611588","105.231968","UTC"
"AKR","Akure Airport","Akure","NG","NG","7.246739864349365","5.3010101318359375","Africa/Lagos"
"AKS","Gwaunaru'u Airport","Auki","SB","SB","-8.70257","160.682007","Pacific/Guadalcanal"
"AKT","RAF Akrotiri","Akrotiri","CY","CY","34.590401","32.9879","Europe/London"
"AKU","Aksu Hongqipo Airport","Aksu (Onsu)","CN","CN","41.262501","80.291702","Asia/Shanghai"
"AKV","Akulivik Airport","Akulivik","CA","CA","60.8186","-78.148598","America/Toronto"
"AKW","Aghajari Airport","Aghajari","IR","IR","30.7444","49.6772","Asia/Tehran"
"AKX","Aktobe International Airport","Aktobe","KZ","KZ","50.248116","57.204144","Asia/Oral"
"AKY","Sittwe Airport","Sittwe","MM","MM","20.133165","92.870693","Asia/Rangoon"
"ALA","Almaty International Airport","Almaty","KZ","KZ","43.354267","77.042828","Asia/Qyzylorda"
"ALB","Albany International Airport","Albany","US","US","42.748299","-73.801697","America/New_York"
"ALC","Alicante-Elche Miguel Hernández Airport","Alicante","ES","ES","38.2822","-0.558156","Europe/Madrid"
"ALD","Alerta Airport","Fortaleza","PE","PE","-11.65018","-69.229614","UTC"
"ALE","Alpine Casparis Municipal Airport","Alpine","US","US","30.384199","-103.683998","\N"
"ALF","Alta Airport","Alta","NO","NO","69.976097","23.3717","Europe/Oslo"
"ALG","Houari Boumediene Airport","Algiers","DZ","DZ","36.693886","3.214531","Africa/Algiers"
"ALH","Albany Airport","Albany","AU","AU","-34.943333","117.808889","Australia/Perth"
"ALI","Alice International Airport","Alice","US","US","27.7409","-98.026901","America/Chicago"
"ALJ","Alexander Bay Airport","Alexander Bay","ZA","ZA","-28.575001","16.5333","Africa/Johannesburg"
"ALM","Alamogordo White Sands Regional Airport","Alamogordo","US","US","32.837818","-105.993149","America/Denver"
"ALN","St Louis Regional Airport","Alton/St Louis","US","US","38.89030075069999","-90.0459976196","\N"
"ALO","Waterloo Regional Airport","Waterloo","US","US","42.557098388671875","-92.40029907226562","America/Chicago"
"ALP","Aleppo International Airport","Aleppo","SY","SY","36.181262","37.226869","Asia/Damascus"
"ALQ","Alegrete Novo Airport","Alegrete","BR","BR","-29.811595","-55.894707","UTC"
"ALR","Alexandra Aerodrome","Alexandra","NZ","NZ","-45.210495","169.371113","Pacific/Auckland"
"ALS","San Luis Valley Regional Airport/Bergman Field","Alamosa","US","US","37.434898","-105.866997","America/Denver"
"ALT","Alenquer Municipal Airport","Alenquer","BR","BR","-1.917","-54.7231","UTC"
"ALU","Alula Airport","Alula","SO","SO","11.9582","50.748","Africa/Mogadishu"
"ALW","Walla Walla Regional Airport","Walla Walla","US","US","46.09489822","-118.288002","America/Los_Angeles"
"ALX","Thomas C Russell Field","Alexander City","US","US","32.914699554399995","-85.9629974365","\N"
"ALZ","Alitak Seaplane Base","Lazy Bay","US","US","56.897294","-154.249692","UTC"
"AMA","Rick Husband Amarillo International Airport","Amarillo","US","US","35.217857","-101.706444","America/Chicago"
"AMB","Ambilobe Airport","AMB","MG","MG","-13.1884","48.987999","Indian/Antananarivo"
"AMC","Am Timan Airport","Am Timan","TD","TD","11.0340003967","20.274000167799997","Africa/Ndjamena"
"AMD","Sardar Vallabh Patel International Airport","Ahmedabad","IN","IN","23.0772","72.634697","Asia/Calcutta"
"AME","Alto Molocue Airport","Alto Molocue","MZ","MZ","-15.6102777778","37.6813888889","UTC"
"AMF","Ama Airport","AMF","PG","PG","-4.10111111111","141.67","UTC"
"AMH","Arba Minch Airport","Arba Minch","ET","ET","6.03939","37.5905","Africa/Addis_Ababa"
"AMJ","Cirilo Queiróz Airport","Almenara","BR","BR","-16.165579","-40.684024","UTC"
"AMK","Animas Air Park","Durango","US","US","37.203201","-107.869003","UTC"
"AML","Puerto Armuelles Airport","Puerto Armuelles","PA","PA","8.267667","-82.864537","UTC"
"AMM","Queen Alia International Airport","Amman","JO","JO","31.7226009369","35.9931983948","Asia/Amman"
"AMN","Gratiot Community Airport","Alma","US","US","43.322101593","-84.68800354","\N"
"AMO","Mao Airport","Mao","TD","TD","14.1456","15.3144","UTC"
"AMP","Ampanihy Airport","Ampanihy","MG","MG","-24.699699","44.7342","UTC"
"AMQ","Pattimura International Airport","Ambon","ID","ID","-3.71026","128.089005","Asia/Jayapura"
"AMS","Amsterdam Airport Schiphol","Amsterdam","NL","NL","52.308601","4.76389","Europe/Amsterdam"
"AMT","Amata Airport","AMT","AU","AU","-26.097363","131.202732","\N"
"AMU","Amanab Airport","Amanab","PG","PG","-3.586","141.214333333","UTC"
"AMV","Amderma Airport","Amderma","RU","RU","69.76329803466797","61.556400299072266","Europe/Moscow"
"AMW","Ames Municipal Airport","Ames","US","US","41.992001","-93.621803","UTC"
"AMX","Ammaroo Airport","AMX","AU","AU","-21.738300323486328","135.24200439453125","UTC"
"AMY","Ambatomainty Airport","AMY","MG","MG","-17.686667","45.623889","UTC"
"AMZ","Ardmore Airport","Manurewa","NZ","NZ","-37.029701232910156","174.97300720214844","Pacific/Auckland"
"ANA","Angama Airport","Maasai Mara","KE","KE","-1.27156","34.955513","UTC"
"ANB","Anniston Regional Airport","Anniston","US","US","33.5882","-85.8581","America/Chicago"
"ANC","Ted Stevens Anchorage International Airport","Anchorage","US","US","61.179004","-149.992561","America/Anchorage"
"AND","Anderson Regional Airport","Anderson","US","US","34.4945983887","-82.70939636230001","America/New_York"
"ANE","Angers Marcé airport","Angers","FR","FR","47.560299","-0.312222","Europe/Paris"
"ANF","Andrés Sabella Gálvez International Airport","Antofagasta","CL","CL","-23.445274","-70.445232","America/Santiago"
"ANG","Angoulême Brie-Champniers airport","Angoulême","FR","FR","45.729198","0.221456","Europe/Paris"
"ANI","Aniak Airport","Aniak","US","US","61.581600189208984","-159.54299926757812","America/Anchorage"
"ANJ","Zanaga Airport","Zanaga","CG","CG","-2.846651","13.821155","UTC"
"ANK","Etimesgut Air Base","Ankara","TR","TR","39.949798584","32.6885986328","Europe/Istanbul"
"ANL","Andulo Airport","Andulo","AO","AO","-11.4723","16.710899","UTC"
"ANM","Antsirabe Airport","Antsirabe","MG","MG","-14.9994","50.320202","Indian/Antananarivo"
"ANN","Annette Island Airport","Metlakatla","US","US","55.037663","-131.572609","America/Anchorage"
"ANO","Angoche Airport","Angoche","MZ","MZ","-16.18187","39.945217","UTC"
"ANP","Lee Airport","Annapolis","US","US","38.942902","-76.568398","America/New_York"
"ANQ","Tri State Steuben County Airport","Angola","US","US","41.639702","-85.083504","America/New_York"
"ANR","Antwerp International Airport (Deurne)","Antwerp","BE","BE","51.190667","4.463153","Europe/Brussels"
"ANS","Andahuaylas Airport","Andahuaylas","PE","PE","-13.706399917602539","-73.35040283203125","America/Lima"
"ANT","Sankt Anton am Arlberg Heliport","Sankt Anton am Arlberg","AT","AT","47.119621","10.240524","UTC"
