"iata","name","city","country","country_code","lat","lon","timezone"
"RAH","Rafha Domestic Airport","Rafha","SA","SA","29.626399993896484","43.4906005859375","Asia/Riyadh"
"RAI","Nelson Mandela International Airport","Praia","CV","CV","14.941126","-23.484728","Atlantic/Cape_Verde"
"RAJ","Rajkot Airport","Rajkot","IN","IN","22.3092","70.779503","Asia/Calcutta"
"RAK","Marrakesh Menara Airport","Marrakesh","MA","MA","31.604807","-8.035788","Africa/Casablanca"
"RAL","Riverside Municipal Airport","Riverside","US","US","33.9519","-117.445","America/Los_Angeles"
"RAM","Ramingining Airport","RAM","AU","AU","-12.356399536132812","134.8979949951172","Australia/Darwin"
"RAN","Ravenna Airport","Ravenna (RA)","IT","IT","44.364291","12.224996","UTC"
"RAO","Leite Lopes Airport","Ribeirão Preto","BR","BR","-21.134314","-47.774053","America/Sao_Paulo"
"RAP","Rapid City Regional Airport","Rapid City","US","US","44.0452995300293","-103.05699920654297","America/Denver"
"RAQ","Sugimanuru Airport","Raha","ID","ID","-4.763298","122.566352","\N"
"RAR","Rarotonga International Airport","Avarua","CK","CK","-21.2027","-159.806","Pacific/Rarotonga"
"RAS","Sardar-e-Jangal Airport","Rasht","IR","IR","37.323333","49.617778","Asia/Tehran"
"RAV","Cravo Norte Airport","Cravo Norte","CO","CO","6.316404","-70.21137","UTC"
"RAW","Arawa Airport","Arawa","PG","PG","-6.220556","155.571389","UTC"
"RAX","Oram Airport","RAX","PG","PG","-9.632916666669997","148.048055556","UTC"
"RAZ","Rawalakot Airport","Rawalakot","PK","PK","33.849701","73.798103","Asia/Karachi"
"RBA","Rabat-Salé Airport","Rabat","MA","MA","34.051498","-6.75152","Africa/Casablanca"
"RBB","Borba Airport","Borba","BR","BR","-4.40634","-59.602402","America/Boa_Vista"
"RBC","Robinvale Airport","Robinvale","AU","AU","-34.642887","142.773042","UTC"
"RBD","Dallas Executive Airport","Dallas","US","US","32.6809005737","-96.8682022095","America/Chicago"
"RBE","Ratanakiri Airport","Ratanakiri","KH","KH","13.729999542236328","106.98699951171875","Asia/Phnom_Penh"
"RBF","Big Bear City Airport","Big Bear","US","US","34.263802","-116.856003","UTC"
"RBG","Roseburg Regional Airport","Roseburg","US","US","43.238800048799995","-123.356002808","UTC"
"RBI","Rabi Island Airport","Rabi Island","FJ","FJ","-16.5337","179.9757","UTC"
"RBJ","Rebun Airport","Rebun","JP","JP","45.4550018311","141.039001465","UTC"
"RBK","French Valley Airport","Murrieta","US","US","33.5742","-117.127998","America/Los_Angeles"
"RBL","Red Bluff Municipal Airport","Red Bluff","US","US","40.1506996155","-122.251998901","America/Los_Angeles"
"RBM","Straubing Airport","Atting","DE","DE","48.900833","12.516667","Europe/Berlin"
"RBO","Roboré Airport","Roboré","BO","BO","-18.328224","-59.765339","UTC"
"RBP","Raba Raba Airport","Rabaraba","PG","PG","-9.97111111111","149.832222222","UTC"
"RBQ","Rurrenabaque Airport","Rurrenabaque","BO","BO","-14.4279","-67.496803","America/La_Paz"
"RBR","Rio Branco-Plácido de Castro International Airport","Rio Branco","BR","BR","-9.869031","-67.893984","America/Rio_Branco"
"RBS","Orbost Airport","RBS","AU","AU","-37.790000915527344","148.61000061035156","UTC"
"RBT","Marsabit Airport","Marsabit","KE","KE","2.344254","37.999996","UTC"
"RBU","Roebourne Airport","Roebourne","AU","AU","-20.763898","117.155199","UTC"
"RBV","Ramata Airport","Ramata","SB","SB","-8.168060302734375","157.64300537109375","Pacific/Guadalcanal"
"RBW","Lowcountry Regional Airport","Walterboro","US","US","32.921001434299995","-80.6406021118","UTC"
"RBX","Rumbek Airport","Rumbek","SS","SS","6.831074","29.669073","Africa/Juba"
"RBY","Ruby Airport","Ruby","US","US","64.727203","-155.470001","America/Anchorage"
"RBZ","Shahrisabz Southwest Airport","Shahrisabz","UZ","UZ","39.030067","66.775825","UTC"
"RCA","Ellsworth Air Force Base","Rapid City","US","US","44.14500046","-103.1039963","America/Denver"
"RCB","Richards Bay Airport","Richards Bay","ZA","ZA","-28.740999221800003","32.0920982361","Africa/Johannesburg"
"RCE","Roche Harbor Airport","Roche Harbor","US","US","48.612301","-123.139","UTC"
"RCH","Almirante Padilla Airport","Riohacha","CO","CO","11.5262","-72.926","America/Bogota"
"RCK","H H Coffield Regional Airport","Rockdale","US","US","30.6315994263","-96.9897003174","UTC"
"RCL","Redcliffe Airport","Redcliffe","VU","VU","-15.472","167.835007","Pacific/Efate"
"RCM","Richmond Airport","RCM","AU","AU","-20.701900482177734","143.11500549316406","\N"
"RCO","Rochefort-Saint-Agnant (BA 721) Airport","Rochefort/Saint-Agnant","FR","FR","45.887798","-0.983056","Europe/Paris"
"RCQ","Reconquista Airport","Reconquista","AR","AR","-29.210278","-59.683333","America/Cordoba"
"RCR","Fulton County Airport","Rochester","US","US","41.065601348899996","-86.18170166019999","UTC"
"RCS","Rochester Airport","Rochester, Kent","GB","GB","51.351898","0.503333","Europe/London"
"RCU","Area De Material Airport","Rio Cuarto","AR","AR","-33.085098","-64.261299","America/Cordoba"
"RCY","Rum Cay International Airport","Port Nelson","BS","BS","23.68344","-74.836302","America/Nassau"
"RDA","Rockhampton Downs Airport","Rockhampton Downs","AU","AU","-18.95330047607422","135.2010040283203","UTC"
"RDB","Red Dog Airport","Red Dog","US","US","68.032097","-162.899002","\N"
"RDC","Redenção Airport","Redenção","BR","BR","-8.031188","-49.979687","America/Belem"
"RDD","Redding Municipal Airport","Redding","US","US","40.50899887","-122.2929993","America/Los_Angeles"
"RDE","Merdey Airport","Merdei-Papua Island","ID","ID","-1.591154","133.295867","UTC"
"RDG","Reading Regional Airport (Carl A Spaatz Field)","Reading","US","US","40.378502","-75.965202","America/New_York"
"RDL","Bardawil International Airport","El Hassana","EG","EG","30.410714","33.15535","UTC"
"RDM","Roberts Field","Redmond","US","US","44.254101","-121.150002","America/Los_Angeles"
"RDN","LTS Pulau Redang Airport","Redang","MY","MY","5.764804","103.004942","Asia/Kuala_Lumpur"
"RDO","Warsaw Radom Airport","Radom","PL","PL","51.38937","21.214742","Europe/Warsaw"
"RDP","Kazi Nazrul Islam Airport","Durgapur","IN","IN","23.6225","87.243","\N"
"RDR","Grand Forks Air Force Base","Grand Forks","US","US","47.961101532","-97.4011993408","America/Chicago"
"RDS","Rincon De Los Sauces Airport","Rincon de los Sauces","AR","AR","-37.390598","-68.904198","America/Argentina/Salta"
"RDT","Richard Toll Airport","Richard Toll","SN","SN","16.437816","-15.656376","UTC"
"RDU","Raleigh-Durham International Airport","Raleigh/Durham","US","US","35.878659","-78.7873","America/New_York"
"RDV","Red Devil Airport","Red Devil","US","US","61.788101","-157.350006","UTC"
"RDZ","Rodez–Aveyron Airport","Rodez/Marcillac","FR","FR","44.407902","2.48267","Europe/Paris"
"REA","Reao Airport","Reao","PF","PF","-18.46652","-136.43855","\N"
"REB","Müritz Airpark","Lärz","DE","DE","53.306389","12.752222","Europe/Berlin"
"REC","Recife/Guararapes - Gilberto Freyre International Airport","Recife","BR","BR","-8.12747","-34.922961","America/Fortaleza"
"RED","Mifflin County Airport","Reedsville","US","US","40.6773986816","-77.6268005371","UTC"
"REE","Reese Airpark","Lubbock","US","US","33.590301513672","-102.03700256348","UTC"
"REG","Reggio Calabria Airport","Reggio Calabria","IT","IT","38.071201","15.6516","Europe/Rome"
"REI","Régina Airport","Régina","GF","GF","4.31339","-52.132745","UTC"
"REL","Almirante Marco Andres Zar Airport","Rawson","AR","AR","-43.2105","-65.2703","America/Catamarca"
"REN","Orenburg Central Airport","Orenburg","RU","RU","51.792668","55.457229","Asia/Yekaterinburg"
"REO","Rome State Airport","Rome","US","US","42.5777015686","-117.885002136","UTC"
"REQ","Reko Diq Airport","Chagai","PK","PK","29.04692","62.196819","UTC"
"RER","Retalhuleu Airport","Retalhuleu","GT","GT","14.521431","-91.697001","America/Guatemala"
"RES","Resistencia International Airport","Resistencia","AR","AR","-27.44991","-59.056125","America/Cordoba"
"RET","Røst Airport","Røst","NO","NO","67.526482","12.101575","Europe/Oslo"
"REU","Reus Airport","Reus","ES","ES","41.147509","1.168354","Europe/Madrid"
"REW","Rewa Airport, Chorhata, REWA","Rewa","IN","IN","24.503401","81.220299","UTC"
"REX","General Lucio Blanco International Airport","Reynosa","MX","MX","26.0089","-98.2285","America/Mexico_City"
"REY","Reyes Airport","Reyes","BO","BO","-14.3044","-67.353401","America/La_Paz"
"REZ","Resende Airport","Resende","BR","BR","-22.4785","-44.480301","\N"
"RFA","Rafaï Airport","Rafaï","CF","CF","4.988609790802002","23.927799224853516","UTC"
"RFD","Chicago Rockford International Airport","Chicago/Rockford","US","US","42.1954","-89.097198","America/Chicago"
"RFG","Rooke Field","Refugio","US","US","28.2936","-97.322998","UTC"
